id	name	birthDate	deathDate	role	movies
nm0000097	Pamela Anderson	1967	\N	actress,producer,director	tt0893509,tt0115624,tt0306047,tt0426592
nm0000632	Jerry Seinfeld	1954	\N	writer,producer,actor	tt2314952,tt0389790,tt12117854,tt0098904
nm0001014	Mariah Carey	1969	\N	soundtrack,actress,composer	tt0120596,tt4116284,tt0929632,tt0118589
nm0001162	Griffin Dunne	1955	\N	actor,director,producer	tt0790636,tt0088680,tt1333125,tt0082010
nm0001182	Carmen Electra	1972	\N	actress,producer,soundtrack	tt0362120,tt1073498,tt0175142,tt0799949
nm0001413	Julie Kavner	1950	\N	actress,soundtrack	tt0091167,tt0462538,tt0096697,tt0389860
nm0001760	Tori Spelling	1973	\N	actress,producer,music_department	tt0257106,tt0162710,tt0098749,tt0119324
nm0001850	Billy Dee Williams	1937	\N	actor,soundtrack,writer	tt0080684,tt0086190,tt2527338,tt4116284
nm0001878	David Zucker	1947	\N	writer,producer,director	tt0080339,tt0088286,tt0102510,tt0362120
nm0002436	Shannon Elizabeth	1973	\N	actress,producer,director	tt0163651,tt0314331,tt0175142,tt6521876
nm0002477	Todd Toon	1964	\N	sound_department,actor	tt5116302,tt9243946,tt1663202,tt0187078
nm0002525	Kevin Marcy	\N	\N	miscellaneous,producer,actor	tt0106598,tt0092925,tt0095705,tt0306047
nm0002551	Bill Davis	1951	\N	art_department,miscellaneous,special_effects	tt0362120,tt0387564,tt0109402,tt0333766
nm0002969	Dina Lipton	\N	\N	production_designer,art_department,art_director	tt0124198,tt0241760,tt0206314,tt1333125
nm0003021	Chris McKay	1973	\N	director,producer,editor	tt4116284,tt9777666,tt11358390,tt1490017
nm0003489	Billy Martin	\N	\N	composer,soundtrack,music_department	tt2315596,tt0168786,tt0330793,tt0389790
nm0003743	Clive Edwards	\N	\N	art_department,set_decorator,miscellaneous	tt0457572,tt0406759,tt4680182,tt0175142
nm0003912	Andrew Mulkani	\N	\N	camera_department,producer,miscellaneous	tt0239948,tt0108330,tt0175142,tt0110322
nm0004256	Suzan Derkson	\N	\N	assistant_director,production_manager,producer	tt2626350,tt0306047,tt0175142,tt14637386
nm0004715	Will Arnett	1970	\N	actor,producer,writer	tt1490017,tt3949660,tt4116284,tt0367279
nm0004813	Nancy Cartwright	1957	\N	actress,soundtrack,producer	tt0120685,tt0462538,tt0096697,tt0386789
nm0004867	James DeBello	1980	\N	actor,soundtrack	tt0165710,tt0257106,tt0163651,tt0303816
nm0004958	Marla Gibbs	1931	\N	actress,miscellaneous,soundtrack	tt0088470,tt0072519,tt0103488,tt9243946
nm0004981	Matt Groening	1954	\N	writer,producer,animation_department	tt0462538,tt0149460,tt5363918,tt0096697
nm0005092	Larry King	1933	2021	producer,actor,director	tt0389790,tt0120660,tt0087332,tt0265029
nm0005179	Camryn Manheim	1961	\N	actress,producer,soundtrack	tt0147612,tt0118437,tt0306047,tt0350261
nm0005181	Aimee Mann	1960	\N	soundtrack,actress,composer	tt9243946,tt0175880,tt0116695,tt0118715
nm0005277	Conan O'Brien	1963	\N	writer,music_department,producer	tt0106052,tt4116284,tt1670345,tt1637574
nm0005350	Simon Rex	1974	\N	actor,soundtrack,producer	tt0795461,tt13453006,tt0426592,tt0306047
nm0005370	Kathleen Robertson	1973	\N	actress,writer,producer	tt0910812,tt0257106,tt0488887,tt0427969
nm0006126	Neal Hefti	1922	2008	music_department,soundtrack,composer	tt0063374,tt0457939,tt3104988,tt4116284
nm0006223	Jean-Claude Petit	1943	\N	composer,soundtrack,music_department	tt0091288,tt0175142,tt0144117,tt0099334
nm0006686	Reg Tupper	1947	\N	actor,producer	tt0279600,tt1765510,tt0175142,tt0352113
nm0006812	Tina Fiorda	\N	\N	costume_designer,actress,costume_department	tt0145056,tt0242746,tt0270846,tt0306047
nm0006969	Elizabeth Banks	1974	\N	actress,producer,director	tt1490017,tt1392170,tt1951265,tt0903657
nm0006986	Mary Feuer	\N	\N	writer,producer,director	tt0414731,tt0257106,tt0247425,tt1403034
nm0007105	Al Campbell	\N	\N	camera_department	tt0184858,tt0414982,tt0175142,tt0425430
nm0008482	Morten Abel	1962	\N	music_department,soundtrack,actor	tt0417909,tt1333125,tt0377355,tt0338466
nm0009016	Jon Abrahams	1977	\N	actor,director,producer	tt0397065,tt0212338,tt5073756,tt0175142
nm0009919	Antony Acker	\N	\N	actor	tt0119700,tt0426371,tt0870111,tt0257106
nm0010282	Clint Acquistapace	\N	\N	camera_department	tt0090169,tt3322940,tt1333125,tt0240462
nm0010859	Corey Adams	\N	\N	director,writer,editor	tt14527626,tt1052002,tt0175142,tt1315388
nm0011190	Marshall Adams	\N	\N	cinematographer,camera_department,director	tt9243946,tt0118665,tt0120684,tt0395843
nm0011273	Preston A. Adams	\N	\N	camera_department,actor	tt0257106,tt0443706,tt0305224,tt0369735
nm0011420	Valari Adams	\N	\N	costume_designer,costume_department	tt0115221,tt1371903,tt0257106,tt0116126
nm0012682	Neil Affleck	1953	\N	director,editorial_department,animation_department	tt0081455,tt0096697,tt0082782,tt0462538
nm0013953	Briana Ahl	\N	\N	miscellaneous,actress,camera_department	tt0200925,tt0257106,tt0251057
nm0016050	Gordon Alare	\N	\N	special_effects	tt0362120,tt0978764,tt0296572,tt0406759
nm0017556	Ralph Alderman	1948	\N	actor,location_management	tt0233142,tt3829920,tt0362120,tt0903747
nm0018145	Alessandro Alessandroni	1925	2017	music_department,composer,soundtrack	tt1490017,tt0085862,tt0064116,tt0411475
nm0018339	Colin Alexander	\N	\N	art_department	tt1490017,tt0264616,tt0118749
nm0020018	Sean Allan	1942	2017	actor	tt0409459,tt1439741,tt0118480,tt0362120
nm0021263	James P. Alles	\N	\N	animation_department,art_department	tt0780521,tt0462538,tt0181739,tt0129167
nm0022901	Jeff Altman	1951	\N	actor,producer,soundtrack	tt0085470,tt0389790,tt0131675,tt0102034
nm0023315	Rick Alvarez	\N	\N	producer,writer,miscellaneous	tt0257106,tt0381707,tt0430304,tt2243537
nm0024990	Sebastian Amiri	\N	\N	camera_department,actor,art_department	tt1333125,tt1415282,tt0197072,tt0142804
nm0025220	Nikki Amoriasino	\N	\N	special_effects	tt0362120,tt0486674,tt0111070,tt0116260
nm0025711	Sean Anastasion	\N	\N	camera_department	tt0257106,tt0132910,tt0206314,tt0202677
nm0025712	Glen Anastasiou	\N	\N	art_department,production_designer,art_director	tt1333125,tt0421045,tt0189340,tt0164802
nm0026433	Bob Anderson	\N	\N	director,animation_department,assistant_director	tt0108755,tt0125051,tt0096697,tt0462538
nm0026672	Ellen Anderson	\N	\N	costume_department,costume_designer,miscellaneous	tt0362120,tt1131734,tt0449487,tt0454945
nm0027214	Mike B. Anderson	\N	\N	director,animation_department,art_department	tt0090615,tt0462538,tt0102185,tt0096697
nm0029449	Dennis Angel	\N	\N	miscellaneous,script_department	tt0123755,tt2937898,tt1333125,tt0274905
nm0033704	Martin Archer	\N	\N	animation_department,art_department,director	tt1139628,tt0118375,tt2861424,tt0462538
nm0033730	Steve Archer	\N	\N	actor	tt0362120,tt0404032,tt0100436,tt0118480
nm0034190	Jack Arel	1943	\N	composer,soundtrack,music_department	tt0144117,tt0175142,tt3014866,tt1937264
nm0035520	Todd Armitage	\N	\N	camera_department,actor	tt1333125,tt0935075,tt0443465,tt1615147
nm0035626	Billie Joe Armstrong	1972	\N	soundtrack,actor,composer	tt1956620,tt0462538,tt0465602,tt1055369
nm0035702	Gary Armstrong	\N	\N	camera_department,cinematographer,visual_effects	tt0175142,tt0097778,tt0088088,tt0160277
nm0036524	Kevin Arnold	\N	\N	camera_department,miscellaneous,producer	tt0093777,tt0112715,tt1333125,tt0096256
nm0039272	Simon Ashton	\N	\N	animation_department,art_department,visual_effects	tt5117670,tt4116284,tt1490017,tt1219342
nm0047078	Kelly Baigent	\N	\N	animation_department,art_department,assistant_director	tt0118617,tt0120913,tt1219342,tt4116284
nm0051382	Afrika Bambaataa	1957	\N	soundtrack,actor,composer	tt0472399,tt0244244,tt0259711,tt4116284
nm0052186	Jonathan Banks	1947	\N	actor,writer,producer	tt2396589,tt9243946,tt0903747,tt0086856
nm0053203	Gregg Barbanell	\N	\N	sound_department,editorial_department	tt9243946,tt1663202,tt0903747,tt0113855
nm0054933	Kim Barker	\N	\N	miscellaneous	tt0150021,tt0120901,tt0306047,tt0236348
nm0055382	Cherilyn Barnard	\N	\N	camera_department,cinematographer	tt2582782,tt0252501,tt9243946,tt2557490
nm0056057	Gene Barnhart	\N	\N	costume_department,costume_designer	tt0362120,tt1447723,tt0452718,tt0430634
nm0057221	Mark Barrett	\N	\N	actor	tt0257106,tt0111405,tt0135079,tt0112090
nm0057940	Bill Barry	\N	\N	miscellaneous,production_manager	tt0371606,tt0275847,tt0462538,tt0120855
nm0058793	Charles Bartlett	1941	\N	actor,miscellaneous	tt0899106,tt0112431,tt0884328,tt1490017
nm0059282	Barb Bartos	\N	\N	stunts,miscellaneous	tt0240515,tt0306047,tt0160277,tt0238552
nm0059759	Laverne Munroe	\N	\N	make_up_department	tt0101463,tt2364582,tt0106179,tt9243946
nm0060998	Nancy M. Bates	\N	\N	art_department,art_director	tt0171580,tt0239949,tt0257106,tt0118631
nm0061043	Todd Bates	\N	\N	special_effects,miscellaneous,actor	tt5709188,tt4591310,tt0164052,tt0257106
nm0061521	Mike Battle	1978	\N	art_department,animation_department,editorial_department	tt0118375,tt0111875,tt0462538,tt0096697
nm0061870	Karen Bauer	1964	\N	art_department,animation_department,miscellaneous	tt0091920,tt0462538,tt0096697,tt0206512
nm0062256	Thomas Baumann	\N	\N	special_effects	tt0257106,tt0257756,tt0118583,tt0120611
