ID	NAME	BIRTH	DEATH	PROFESSION	MOVIES
nm0000926	Milton Berle	1908	2002	actor,producer,soundtrack	tt0079588,tt0057193,tt0040041,tt0060801
nm0001146	Donna Dixon	1957	\N	actress,soundtrack	tt0086491,tt0113987,tt0105793,tt0090056
nm0001182	Carmen Electra	1972	\N	actress,producer,soundtrack	tt0362120,tt1073498,tt0175142,tt0799949
nm0001341	Florence Henderson	1934	2016	actress,soundtrack,producer	tt0112572,tt0063878,tt0102898,tt0075485
nm0001760	Tori Spelling	1973	\N	actress,producer,music_department	tt0257106,tt0162710,tt0098749,tt0119324
nm0002551	Bill Davis	1951	\N	art_department,miscellaneous,special_effects	tt0362120,tt0387564,tt0109402,tt0333766
nm0003021	Chris McKay	1973	\N	director,producer,editor	tt4116284,tt9777666,tt11358390,tt1490017
nm0004715	Will Arnett	1970	\N	actor,producer,writer	tt1490017,tt3949660,tt4116284,tt0367279
nm0004796	Tevin Campbell	1976	\N	actor,soundtrack,composer	tt0113198,tt0120207,tt0117891,tt0101507
nm0004981	Matt Groening	1954	\N	writer,producer,animation_department	tt0462538,tt0149460,tt5363918,tt0096697
nm0005057	Amy Jo Johnson	1970	\N	actress,soundtrack,director	tt0113820,tt0134247,tt1059475,tt9386648
nm0005092	Larry King	1933	2021	producer,actor,director	tt0389790,tt0120660,tt0087332,tt0265029
nm0005181	Aimee Mann	1960	\N	soundtrack,actress,composer	tt9243946,tt0175880,tt0116695,tt0118715
nm0005189	Jason Marsden	1975	\N	actor,producer,director	tt0113198,tt0107120,tt0105958,tt0092359
nm0005192	Kellie Martin	1975	\N	actress,producer,director	tt0113198,tt0113008,tt0108757,tt0096635
nm0005350	Simon Rex	1974	\N	actor,soundtrack,producer	tt0795461,tt13453006,tt0426592,tt0306047
nm0005415	China Shavers	1977	\N	actress,producer	tt0277371,tt0221218,tt1532503,tt1839492
nm0005630	Thomas E. Ackerman	1948	\N	cinematographer,camera_department,assistant_director	tt0426592,tt0119190,tt0250687,tt0090685
nm0006716	Seth Walther	\N	\N	writer,script_department,actor	tt3717532,tt2236126,tt1704503,tt4962796
nm0006851	Madeleine Blaustein	1960	2008	actress,writer,soundtrack	tt0190641,tt0168366,tt0235679,tt0210234
nm0006969	Elizabeth Banks	1974	\N	actress,producer,director	tt1490017,tt1392170,tt1951265,tt0903657
nm0007506	Maddy Aaronson	\N	\N	miscellaneous	tt0092106,tt0090461,tt0138230,tt0093066
nm0010004	Peter Ackerman	\N	\N	producer,writer,actor	tt6095472,tt0268380,tt0438097,tt2149175
nm0010481	Tom Adair	\N	\N	miscellaneous	tt0117128,tt5688068,tt0120525
nm0011178	Maria Adams	1937	\N	actress	tt0076257,tt0074884
nm0011190	Marshall Adams	\N	\N	cinematographer,camera_department,director	tt9243946,tt0118665,tt0120684,tt0395843
nm0011273	Preston A. Adams	\N	\N	camera_department,actor	tt0257106,tt0443706,tt0305224,tt0369735
nm0012132	David M. Adler	\N	\N	miscellaneous,visual_effects	tt0220099,tt0780521,tt0338464,tt0397892
nm0013881	Sid Ahearne	\N	\N	animation_department	tt0113198,tt0489772,tt0280030,tt0124949
nm0016050	Gordon Alare	\N	\N	special_effects	tt0362120,tt0978764,tt0296572,tt0406759
nm0016076	Pierre Alary	\N	\N	animation_department,art_department	tt0113198,tt0120855,tt0116583,tt0119282
nm0017846	Alberto Alejandrino	\N	\N	actor	tt0110169,tt0115580,tt0105933
nm0018145	Alessandro Alessandroni	1925	2017	music_department,composer,soundtrack	tt1490017,tt0085862,tt0064116,tt0411475
nm0018339	Colin Alexander	\N	\N	art_department	tt1490017,tt0264616,tt0118749
nm0020077	Marco Allard	\N	\N	art_department,animation_department,director	tt0113198,tt0119282,tt0116583,tt0230011
nm0022441	Nick Alphin	\N	\N	sound_department,music_department	tt0099472,tt0078869,tt0088161,tt0088814
nm0023315	Rick Alvarez	\N	\N	producer,writer,miscellaneous	tt0257106,tt0381707,tt0430304,tt2243537
nm0023351	Daryl Alvaro	\N	\N	camera_department	tt0190524,tt0160513,tt0124743,tt0159797
nm0024116	Chloe Amateau	\N	\N	actress,miscellaneous,location_management	tt0093072,tt0091983,tt0346222,tt0097889
nm0024117	J.P. Amateau	\N	\N	stunts,actor	tt0093072,tt0090169,tt0087648,tt0089791
nm0024305	Jessica Ambinder-Rojas	\N	\N	editorial_department,editor	tt3513498,tt1911658,tt0103639,tt0116583
nm0024990	Sebastian Amiri	\N	\N	camera_department,actor,art_department	tt1333125,tt1415282,tt0197072,tt0142804
nm0025010	Emmanuel Amit	\N	\N	actor	tt0076257
nm0025220	Nikki Amoriasino	\N	\N	special_effects	tt0362120,tt0486674,tt0111070,tt0116260
nm0025711	Sean Anastasion	\N	\N	camera_department	tt0257106,tt0132910,tt0206314,tt0202677
nm0025712	Glen Anastasiou	\N	\N	art_department,production_designer,art_director	tt1333125,tt0421045,tt0189340,tt0164802
nm0026672	Ellen Anderson	\N	\N	costume_department,costume_designer,miscellaneous	tt0362120,tt1131734,tt0449487,tt0454945
nm0029055	Patricia Androff	\N	\N	make_up_department	tt0426592,tt0187078,tt1198138,tt0408839
nm0029890	Chriss Anglin	\N	\N	actor,production_manager,writer	tt1190617,tt4016454,tt3100678,tt1632479
nm0032867	Kosuke Arakawa	\N	\N	cinematographer,visual_effects,camera_department	tt0114563,tt0367439,tt1043825,tt0220099
nm0032887	Emi Araki	\N	\N	miscellaneous	tt0092106
nm0033730	Steve Archer	\N	\N	actor	tt0362120,tt0404032,tt0100436,tt0118480
nm0035520	Todd Armitage	\N	\N	camera_department,actor	tt1333125,tt0935075,tt0443465,tt1615147
nm0035702	Gary Armstrong	\N	\N	camera_department,cinematographer,visual_effects	tt0175142,tt0097778,tt0088088,tt0160277
nm0037872	Janine Arthy	\N	\N	animation_department,art_department	tt0099472,tt0090315,tt0178214,tt0286336
nm0038438	Sandra Asbury-Johnson	1948	\N	actress,soundtrack	tt1190617,tt0098384
nm0038502	Kenny Ascher	1944	\N	soundtrack,composer,music_department	tt0079588,tt1204342,tt0075265,tt0452594
nm0039315	Charles Ashworth	\N	\N	art_department	tt2279373,tt0119558,tt0104299,tt0281358
nm0041182	Dana Seltzer	1972	\N	actress	tt0799949,tt1666186,tt0466342,tt0119468
nm0043169	Thomas K. Avildsen	\N	\N	editor,editorial_department,director	tt0080520,tt0077416,tt0084788,tt0087042
nm0044853	Ralph Babcock	\N	\N	sound_department	tt0079588,tt0081974,tt0083169,tt0344019
nm0045203	Jay Bacal	\N	\N	miscellaneous,director,producer	tt0092106,tt5687528,tt0397013,tt5754606
nm0048389	Dee Bradley Baker	1962	\N	actor,soundtrack,miscellaneous	tt2279373,tt0397306,tt0117705,tt0852863
nm0050100	Tom Baleshta	\N	\N	art_department,camera_department,special_effects	tt0306841,tt0460780,tt0308208,tt1259521
nm0050247	Melissa Balin	1975	\N	producer,miscellaneous,director	tt0120389,tt0215557,tt0338443,tt0438040
nm0052166	Harry Banks	\N	\N	production_designer,art_department,producer	tt2112096,tt1533435,tt2708572,tt6542108
nm0053203	Gregg Barbanell	\N	\N	sound_department,editorial_department	tt9243946,tt1663202,tt0903747,tt0113855
nm0054697	Ike Barinholtz	1977	\N	actor,producer,writer	tt1213644,tt2004420,tt2211129,tt1386697
nm0055549	Christopher Daniel Barnes	1972	\N	actor,soundtrack	tt0112572,tt0086886,tt0097757,tt0118073
nm0056057	Gene Barnhart	\N	\N	costume_department,costume_designer	tt0362120,tt1447723,tt0452718,tt0430634
nm0057221	Mark Barrett	\N	\N	actor	tt0257106,tt0111405,tt0135079,tt0112090
nm0057259	Richard Barrett	\N	\N	actor	tt0076257,tt0137000
nm0060810	Kimi Bateman	1975	\N	actress	tt0277371,tt0308506,tt0247121,tt0273923
nm0061671	Mary Ellen Bauder	\N	\N	miscellaneous,production_manager,producer	tt6095472,tt0118553,tt0837562,tt0844471
nm0062256	Thomas Baumann	\N	\N	special_effects	tt0257106,tt0257756,tt0118583,tt0120611
nm0064556	Phil Beauman	\N	\N	producer,writer,miscellaneous	tt0277371,tt0116126,tt0795461,tt0175142
nm0065173	Jeremy Beck	\N	\N	actor	tt0306841,tt0330251,tt0165457,tt0103442
nm0067010	Ariane Behrend	\N	\N	camera_department	tt0175142,tt0243595,tt0195714,tt0188859
nm0067251	Michael Beinhorn	\N	\N	soundtrack,producer,composer	tt0113820,tt0098258,tt1130884,tt0187078
