crew_id	role	movie_id
nm0000097	actress,producer,director	tt0893509
nm0000097	actress,producer,director	tt0115624
nm0000097	actress,producer,director	tt0306047
nm0000097	actress,producer,director	tt0426592
nm0000632	writer,producer,actor	tt2314952
nm0000632	writer,producer,actor	tt0389790
nm0000632	writer,producer,actor	tt12117854
nm0000632	writer,producer,actor	tt0098904
nm0001014	soundtrack,actress,composer	tt0120596
nm0001014	soundtrack,actress,composer	tt4116284
nm0001014	soundtrack,actress,composer	tt0929632
nm0001014	soundtrack,actress,composer	tt0118589
nm0001162	actor,director,producer	tt0790636
nm0001162	actor,director,producer	tt0088680
nm0001162	actor,director,producer	tt1333125
nm0001162	actor,director,producer	tt0082010
nm0001182	actress,producer,soundtrack	tt0362120
nm0001182	actress,producer,soundtrack	tt1073498
nm0001182	actress,producer,soundtrack	tt0175142
nm0001182	actress,producer,soundtrack	tt0799949
nm0001413	actress,soundtrack	tt0091167
nm0001413	actress,soundtrack	tt0462538
nm0001413	actress,soundtrack	tt0096697
nm0001413	actress,soundtrack	tt0389860
nm0001760	actress,producer,music_department	tt0257106
nm0001760	actress,producer,music_department	tt0162710
nm0001760	actress,producer,music_department	tt0098749
nm0001760	actress,producer,music_department	tt0119324
nm0001850	actor,soundtrack,writer	tt0080684
nm0001850	actor,soundtrack,writer	tt0086190
nm0001850	actor,soundtrack,writer	tt2527338
nm0001850	actor,soundtrack,writer	tt4116284
nm0001878	writer,producer,director	tt0080339
nm0001878	writer,producer,director	tt0088286
nm0001878	writer,producer,director	tt0102510
nm0001878	writer,producer,director	tt0362120
nm0002436	actress,producer,director	tt0163651
nm0002436	actress,producer,director	tt0314331
nm0002436	actress,producer,director	tt0175142
nm0002436	actress,producer,director	tt6521876
nm0002477	sound_department,actor	tt5116302
nm0002477	sound_department,actor	tt9243946
nm0002477	sound_department,actor	tt1663202
nm0002477	sound_department,actor	tt0187078
nm0002525	miscellaneous,producer,actor	tt0106598
nm0002525	miscellaneous,producer,actor	tt0092925
nm0002525	miscellaneous,producer,actor	tt0095705
nm0002525	miscellaneous,producer,actor	tt0306047
nm0002551	art_department,miscellaneous,special_effects	tt0362120
nm0002551	art_department,miscellaneous,special_effects	tt0387564
nm0002551	art_department,miscellaneous,special_effects	tt0109402
nm0002551	art_department,miscellaneous,special_effects	tt0333766
nm0002969	production_designer,art_department,art_director	tt0124198
nm0002969	production_designer,art_department,art_director	tt0241760
nm0002969	production_designer,art_department,art_director	tt0206314
nm0002969	production_designer,art_department,art_director	tt1333125
nm0003021	director,producer,editor	tt4116284
nm0003021	director,producer,editor	tt9777666
nm0003021	director,producer,editor	tt11358390
nm0003021	director,producer,editor	tt1490017
nm0003489	composer,soundtrack,music_department	tt2315596
nm0003489	composer,soundtrack,music_department	tt0168786
nm0003489	composer,soundtrack,music_department	tt0330793
nm0003489	composer,soundtrack,music_department	tt0389790
nm0003743	art_department,set_decorator,miscellaneous	tt0457572
nm0003743	art_department,set_decorator,miscellaneous	tt0406759
nm0003743	art_department,set_decorator,miscellaneous	tt4680182
nm0003743	art_department,set_decorator,miscellaneous	tt0175142
nm0003912	camera_department,producer,miscellaneous	tt0239948
nm0003912	camera_department,producer,miscellaneous	tt0108330
nm0003912	camera_department,producer,miscellaneous	tt0175142
nm0003912	camera_department,producer,miscellaneous	tt0110322
nm0004256	assistant_director,production_manager,producer	tt2626350
nm0004256	assistant_director,production_manager,producer	tt0306047
nm0004256	assistant_director,production_manager,producer	tt0175142
nm0004256	assistant_director,production_manager,producer	tt14637386
nm0004715	actor,producer,writer	tt1490017
nm0004715	actor,producer,writer	tt3949660
nm0004715	actor,producer,writer	tt4116284
nm0004715	actor,producer,writer	tt0367279
nm0004813	actress,soundtrack,producer	tt0120685
nm0004813	actress,soundtrack,producer	tt0462538
nm0004813	actress,soundtrack,producer	tt0096697
nm0004813	actress,soundtrack,producer	tt0386789
nm0004867	actor,soundtrack	tt0165710
nm0004867	actor,soundtrack	tt0257106
nm0004867	actor,soundtrack	tt0163651
nm0004867	actor,soundtrack	tt0303816
nm0004958	actress,miscellaneous,soundtrack	tt0088470
nm0004958	actress,miscellaneous,soundtrack	tt0072519
nm0004958	actress,miscellaneous,soundtrack	tt0103488
nm0004958	actress,miscellaneous,soundtrack	tt9243946
nm0004981	writer,producer,animation_department	tt0462538
nm0004981	writer,producer,animation_department	tt0149460
nm0004981	writer,producer,animation_department	tt5363918
nm0004981	writer,producer,animation_department	tt0096697
nm0005092	producer,actor,director	tt0389790
nm0005092	producer,actor,director	tt0120660
nm0005092	producer,actor,director	tt0087332
nm0005092	producer,actor,director	tt0265029
nm0005179	actress,producer,soundtrack	tt0147612
nm0005179	actress,producer,soundtrack	tt0118437
nm0005179	actress,producer,soundtrack	tt0306047
nm0005179	actress,producer,soundtrack	tt0350261
nm0005181	soundtrack,actress,composer	tt9243946
nm0005181	soundtrack,actress,composer	tt0175880
nm0005181	soundtrack,actress,composer	tt0116695
nm0005181	soundtrack,actress,composer	tt0118715
nm0005277	writer,music_department,producer	tt0106052
nm0005277	writer,music_department,producer	tt4116284
nm0005277	writer,music_department,producer	tt1670345
nm0005277	writer,music_department,producer	tt1637574
nm0005350	actor,soundtrack,producer	tt0795461
nm0005350	actor,soundtrack,producer	tt13453006
nm0005350	actor,soundtrack,producer	tt0426592
nm0005350	actor,soundtrack,producer	tt0306047
nm0005370	actress,writer,producer	tt0910812
nm0005370	actress,writer,producer	tt0257106
nm0005370	actress,writer,producer	tt0488887
nm0005370	actress,writer,producer	tt0427969
nm0006126	music_department,soundtrack,composer	tt0063374
nm0006126	music_department,soundtrack,composer	tt0457939
nm0006126	music_department,soundtrack,composer	tt3104988
nm0006126	music_department,soundtrack,composer	tt4116284
nm0006223	composer,soundtrack,music_department	tt0091288
nm0006223	composer,soundtrack,music_department	tt0175142
nm0006223	composer,soundtrack,music_department	tt0144117
nm0006223	composer,soundtrack,music_department	tt0099334
nm0006686	actor,producer	tt0279600
nm0006686	actor,producer	tt1765510
nm0006686	actor,producer	tt0175142
nm0006686	actor,producer	tt0352113
nm0006812	costume_designer,actress,costume_department	tt0145056
nm0006812	costume_designer,actress,costume_department	tt0242746
nm0006812	costume_designer,actress,costume_department	tt0270846
nm0006812	costume_designer,actress,costume_department	tt0306047
nm0006969	actress,producer,director	tt1490017
nm0006969	actress,producer,director	tt1392170
nm0006969	actress,producer,director	tt1951265
nm0006969	actress,producer,director	tt0903657
nm0006986	writer,producer,director	tt0414731
nm0006986	writer,producer,director	tt0257106
nm0006986	writer,producer,director	tt0247425
nm0006986	writer,producer,director	tt1403034
nm0007105	camera_department	tt0184858
nm0007105	camera_department	tt0414982
nm0007105	camera_department	tt0175142
nm0007105	camera_department	tt0425430
nm0008482	music_department,soundtrack,actor	tt0417909
nm0008482	music_department,soundtrack,actor	tt1333125
nm0008482	music_department,soundtrack,actor	tt0377355
nm0008482	music_department,soundtrack,actor	tt0338466
nm0009016	actor,director,producer	tt0397065
