movie_id	crew_id
tt0079588	nm0000926
tt0086491	nm0001146
tt0362120	nm0001182
tt0112572	nm0001341
tt0257106	nm0001760
tt0362120	nm0002551
tt4116284	nm0003021
tt1490017	nm0004715
tt0113198	nm0004796
tt0462538	nm0004981
tt0113820	nm0005057
tt0389790	nm0005092
tt9243946	nm0005181
tt0113198	nm0005189
tt0113198	nm0005192
tt0795461	nm0005350
tt0277371	nm0005415
tt0426592	nm0005630
tt3717532	nm0006716
tt0190641	nm0006851
tt1490017	nm0006969
tt0092106	nm0007506
tt6095472	nm0010004
tt0117128	nm0010481
tt0076257	nm0011178
tt9243946	nm0011190
tt0257106	nm0011273
tt0220099	nm0012132
tt0113198	nm0013881
tt0362120	nm0016050
tt0113198	nm0016076
tt0110169	nm0017846
tt1490017	nm0018145
tt1490017	nm0018339
tt0113198	nm0020077
tt0099472	nm0022441
tt0257106	nm0023315
tt0190524	nm0023351
tt0093072	nm0024116
tt0093072	nm0024117
tt3513498	nm0024305
tt1333125	nm0024990
tt0076257	nm0025010
tt0362120	nm0025220
tt0257106	nm0025711
tt1333125	nm0025712
tt0362120	nm0026672
tt0426592	nm0029055
tt1190617	nm0029890
tt0114563	nm0032867
tt0092106	nm0032887
tt0362120	nm0033730
tt1333125	nm0035520
tt0175142	nm0035702
tt0099472	nm0037872
tt1190617	nm0038438
tt0079588	nm0038502
tt2279373	nm0039315
tt0799949	nm0041182
tt0080520	nm0043169
tt0079588	nm0044853
tt0092106	nm0045203
tt2279373	nm0048389
tt0306841	nm0050100
tt0120389	nm0050247
tt2112096	nm0052166
tt9243946	nm0053203
tt1213644	nm0054697
tt0112572	nm0055549
tt0362120	nm0056057
tt0257106	nm0057221
tt0076257	nm0057259
tt0277371	nm0060810
tt6095472	nm0061671
tt0257106	nm0062256
tt0277371	nm0064556
tt0306841	nm0065173
tt0175142	nm0067010
tt0113820	nm0067251
tt0113820	nm0068431
tt0093072	nm0070207
tt0190524	nm0071900
tt0426592	nm0072131
tt9398640	nm0072162
tt0175142	nm0073286
tt1114677	nm0073504
tt0113198	nm0078860
tt1114677	nm0078957
tt0362120	nm0081572
tt0275277	nm0082507
tt0235679	nm0083430
tt0210234	nm0083671
tt0306047	nm0086578
tt0181288	nm0087870
tt0092106	nm0089454
tt0175142	nm0089680
tt0220099	nm0089943
tt9243946	nm0091165
tt0076257	nm0091229
tt2872750	nm0092959
tt2279373	nm0093876
tt0392878	nm0099010
tt0079588	nm0100103
tt0491703	nm0101241
tt0117128	nm0105304
tt0345950	nm0105868
tt0112572	nm0106120
tt0100740	nm0106303
tt0076257	nm0107705
tt1985949	nm0108169
tt0462538	nm0108670
tt0257106	nm0108849
tt0277371	nm0109701
tt0113198	nm0112664
tt0113820	nm0112757
tt0092106	nm0114728
tt0175142	nm0115598
tt0092106	nm0117040
tt4877122	nm0117138
tt0466342	nm0118696
tt0392878	nm0119402
tt0190524	nm0119723
tt0120389	nm0120151
tt1369845	nm0121430
tt0079588	nm0122698
tt1985949	nm0122899
tt4116284	nm0123262
tt0093072	nm0123621
tt0100740	nm0128431
tt0080520	nm0129695
tt0092106	nm0129843
tt2091256	nm0134945
tt1333125	nm0137800
tt0113198	nm0137986
tt0092106	nm0138354
tt0257106	nm0138402
tt0113820	nm0142810
tt0113820	nm0143462
tt4943998	nm0143790
tt0289408	nm0145429
tt0345950	nm0146181
tt0113198	nm0151770
tt0259974	nm0153164
tt0462538	nm0154615
tt0113198	nm0155606
tt0799949	nm0156939
tt0076257	nm0158813
tt0462538	nm0158859
tt0100740	nm0158908
tt2091256	nm0160782
tt0112572	nm0161433
tt0425601	nm0163925
tt0113820	nm0165668
tt0208185	nm0166369
tt0425601	nm0172631
tt0175142	nm0173320
tt0362120	nm0173737
tt0099472	nm0174497
tt1213644	nm0174902
tt2872750	nm0175355
tt0112572	nm0175723
tt0799949	nm0176555
tt0277371	nm0177031
tt0092106	nm0177100
tt1114677	nm0180485
tt0113820	nm0181372
tt0462538	nm0185230
tt0799949	nm0185272
tt0099472	nm0186013
tt0113820	nm0188197
tt2279373	nm0188395
tt0113820	nm0188868
tt0175142	nm0188959
tt0277371	nm0190138
tt3513498	nm0190487
tt2279373	nm0192280
tt3014284	nm0192609
tt0462538	nm0193026
tt0120389	nm0193069
tt0076257	nm0198055
tt0099472	nm0199835
tt0112572	nm0201649
tt0362120	nm0201970
tt0220099	nm0202608
tt0392878	nm0203576
tt0175142	nm0204379
tt0113820	nm0205969
tt0100740	nm0208789
tt0113198	nm0217329
tt0105616	nm0218527
tt0799949	nm0218527
tt0113198	nm0220303
tt0092106	nm0221915
tt0113198	nm0223765
tt0181288	nm0225003
tt0190641	nm0225322
tt0799949	nm0228055
tt0462538	nm0228238
tt0306047	nm0230098
tt0175142	nm0230535
tt0120389	nm0230671
tt0117128	nm0231474
tt9243946	nm0232626
tt0110169	nm0232838
tt1490017	nm0233556
tt0362120	nm0233917
tt0117128	nm0236330
tt0491703	nm0236684
tt0117128	nm0239704
tt0175142	nm0240397
tt0100740	nm0242310
tt0322802	nm0242756
tt0425601	nm0245267
tt0466342	nm0248317
tt0345950	nm0248405
tt1490017	nm0249035
tt0113198	nm0249617
tt0092106	nm0251646
tt0086491	nm0252052
tt1333125	nm0254309
tt0076257	nm0256109
tt0306047	nm0256988
tt0322802	nm0257424
tt0117128	nm0257753
tt0806147	nm0258418
tt0277371	nm0258418
tt0462538	nm0259965
tt0306841	nm0260299
tt0117128	nm0260989
tt0466342	nm0264815
tt0345950	nm0265067
tt2279373	nm0265067
tt0220099	nm0266255
tt0306841	nm0266302
tt0362120	nm0267506
tt0113198	nm0268237
tt0426592	nm0270172
tt0086491	nm0271866
tt0389790	nm0272324
tt2091256	nm0272709
tt0466342	nm0274475
tt0113820	nm0274824
tt0362120	nm0278757
tt1490017	nm0279352
tt0079588	nm0279496
tt0362120	nm0279554
tt0120389	nm0279781
tt0089961	nm0280504
tt0117128	nm0283800
tt0362120	nm0289019
tt0190524	nm0289260
tt0117128	nm0290322
tt0120389	nm0290969
tt4116284	nm0292702
tt0113198	nm0293142
tt1213644	nm0294997
tt0799949	nm0294997
tt1190617	nm0295281
tt0092106	nm0295357
tt0092106	nm0298004
tt0220099	nm0298014
tt0190641	nm0298038
tt0114563	nm0298573
tt0113820	nm0301938
tt1333125	nm0302614
tt0277371	nm0305272
tt0345950	nm0306829
tt0322802	nm0308649
tt0425601	nm0309936
tt0076257	nm0310885
tt0120389	nm0312738
tt0076257	nm0313009
tt0175142	nm0318741
tt1333125	nm0323034
tt0113198	nm0323278
tt0113820	nm0324856
tt0113820	nm0327474
tt0113820	nm0329361
tt0120389	nm0331649
tt3014284	nm0333384
tt0113198	nm0334300
tt0289408	nm0335040
tt0093072	nm0336113
tt0235679	nm0337751
tt0105616	nm0338481
tt0100740	nm0339151
