title	year	rated	released	runtime	genre	director	writer	actors	plot	language	country	awards	poster	ratings	meta_score	imdb_rating	imdb_votes	id	type	dvd	box_office	production	website	response
The Lego Movie	2014	PG	07 Feb 2014	100 min	Animation, Action, Adventure	Phil Lord, Christopher Miller	Phil Lord, Christopher Miller, Dan Hageman	Chris Pratt, Will Ferrell, Elizabeth Banks	"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."	English, Turkish	United States, Denmark, Australia	Nominated for 1 Oscar. 72 wins & 67 nominations total	https://m.media-amazon.com/images/M/MV5BMTg4MDk1ODExN15BMl5BanBnXkFtZTgwNzIyNjg3MDE@._V1_SX300.jpg	[object Object],[object Object],[object Object]	83	7.7	348,902	tt1490017	movie	17 Jun 2014	$257,966,122	N/A	N/A	True
The Simpsons Movie	2007	PG-13	27 Jul 2007	87 min	Animation, Adventure, Comedy	David Silverman	James L. Brooks, Matt Groening, Al Jean	Dan Castellaneta, Julie Kavner, Nancy Cartwright	After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.	English	United States	Won 1 BAFTA Award5 wins & 34 nominations total	https://m.media-amazon.com/images/M/MV5BMTgxMDczMTA5N15BMl5BanBnXkFtZTcwMzk1MzMzMw@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	80	7.3	327,100	tt0462538	movie	18 Dec 2007	$183,135,014	N/A	N/A	True
Scary Movie	2000	R	07 Jul 2000	88 min	Comedy	Keenen Ivory Wayans	Shawn Wayans, Marlon Wayans, Buddy Johnson	Anna Faris, Jon Abrahams, Marlon Wayans	A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.	English	United States	7 wins & 6 nominations	https://m.media-amazon.com/images/M/MV5BMGEzZjdjMGQtZmYzZC00N2I4LThiY2QtNWY5ZmQ3M2ExZmM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg	[object Object],[object Object],[object Object]	48	6.2	256,495	tt0175142	movie	12 Dec 2000	$157,019,771	N/A	N/A	True
El Camino: A Breaking Bad Movie	2019	TV-MA	11 Oct 2019	122 min	Action, Crime, Drama	Vince Gilligan	Vince Gilligan	Aaron Paul, Jonathan Banks, Matt Jones	Fugitive Jesse Pinkman runs from his captors, the law, and his past.	English, Spanish	United States	Nominated for 4 Primetime Emmys. 4 wins & 24 nominations total	https://m.media-amazon.com/images/M/MV5BNjk4MzVlM2UtZGM0ZC00M2M1LThkMWEtZjUyN2U2ZTc0NmM5XkEyXkFqcGdeQXVyOTAzMTc2MjA@._V1_SX300.jpg	[object Object],[object Object],[object Object]	72	7.3	228,680	tt9243946	movie	11 Oct 2019	N/A	N/A	N/A	True
Scary Movie 2	2001	R	04 Jul 2001	83 min	Comedy	Keenen Ivory Wayans	Shawn Wayans, Marlon Wayans, Buddy Johnson	Anna Faris, Marlon Wayans, Antony Acker	Four teens are tricked by Professor Oldman (Tim Curry) into visiting a haunted house for a school project.	English	United States	3 wins & 5 nominations	https://m.media-amazon.com/images/M/MV5BMzQxYjU1OTUtYjRiOC00NDg2LWI4MWUtZGU5YzdkYTcwNTBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg	[object Object],[object Object],[object Object]	29	5.3	160,255	tt0257106	movie	18 Dec 2001	$71,308,997	N/A	N/A	True
Bee Movie	2007	PG	02 Nov 2007	91 min	Animation, Adventure, Comedy	Simon J. Smith, Steve Hickner	Jerry Seinfeld, Spike Feresten, Barry Marder	Jerry Seinfeld, Renée Zellweger, Matthew Broderick	Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship ...	English	United States	1 win & 15 nominations	https://m.media-amazon.com/images/M/MV5BMjE1MDYxOTA4MF5BMl5BanBnXkFtZTcwMDE0MDUzMw@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	54	6.1	160,048	tt0389790	movie	11 Mar 2008	$126,631,277	N/A	N/A	True
The Lego Batman Movie	2017	PG	10 Feb 2017	104 min	Animation, Action, Adventure	Chris McKay	Seth Grahame-Smith, Chris McKenna, Erik Sommers	Will Arnett, Michael Cera, Rosario Dawson	A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.	English	United States, Denmark, Australia	13 wins & 68 nominations	https://m.media-amazon.com/images/M/MV5BMTcyNTEyOTY0M15BMl5BanBnXkFtZTgwOTAyNzU3MDI@._V1_SX300.jpg	[object Object],[object Object],[object Object]	75	7.3	147,945	tt4116284	movie	13 Jun 2017	$175,936,671	N/A	N/A	True
Scary Movie 3	2003	PG-13	24 Oct 2003	84 min	Comedy	David Zucker	Craig Mazin, Pat Proft, Shawn Wayans	Anna Faris, Charlie Sheen, Regina Hall	Cindy must investigate mysterious crop circles and video tapes, and help the President in preventing an alien invasion.	English	United States, Canada	2 wins & 4 nominations	https://m.media-amazon.com/images/M/MV5BNDE2NTIyMjg2OF5BMl5BanBnXkFtZTYwNDEyMTg3._V1_SX300.jpg	[object Object],[object Object],[object Object]	49	5.5	146,513	tt0306047	movie	11 May 2004	$110,003,217	N/A	N/A	True
Scary Movie 4	2006	PG-13	14 Apr 2006	83 min	Comedy	David Zucker	Craig Mazin, Jim Abrahams, Pat Proft	Anna Faris, Regina Hall, Craig Bierko	"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them."	English, Japanese	United States	1 win & 3 nominations	https://m.media-amazon.com/images/M/MV5BZmFkMzc2NTctN2U1Ni00MzE5LWJmMzMtYWQ4NjQyY2MzYmM1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg	[object Object],[object Object],[object Object]	40	5.1	120,905	tt0362120	movie	15 Aug 2006	$90,710,620	N/A	N/A	True
Movie 43	2013	R	25 Jan 2013	94 min	Comedy	Elizabeth Banks, Steven Brill, Steve Carr	Rocky Russo, Jeremy Sosenko, Ricky Blitt	Emma Stone, Stephen Merchant, Richard Gere	A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.	English	United States	4 wins & 5 nominations	https://m.media-amazon.com/images/M/MV5BMTg4NzQ3NDM1Nl5BMl5BanBnXkFtZTcwNjEzMjM3OA@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	18	4.3	105,425	tt1333125	movie	18 Jun 2013	$8,840,453	N/A	N/A	True
